,title,views,date_time,video_link,thumbnail_link
46,"Build a Stopwatch using HTML, CSS, and JS | GeeksforGeeks",872 views,2 months ago,https://www.youtube.com/watch?v=DR5tJWig0AQ,https://i.ytimg.com/vi/C2u6_wOYlPc/hqdefault.jpg
47,WHAT IS STACK? | Stack Data Structures | DSA Course | GeeksforGeeks,1.2K views,3 months ago,https://www.youtube.com/watch?v=lhhyE7NVcbg,https://i.ytimg.com/vi/C2u6_wOYlPc/hqdefault.jpg
48,Meet A Data Scientist with 5 Years+ Experience | Ft.Tavishi Jaglan | GeeksforGeeks,1.6K views,3 months ago,https://www.youtube.com/watch?v=4_u-xcfqpcA,https://i.ytimg.com/vi/4_u-xcfqpcA/hqdefault.jpg
49,Master Data Science Concepts: Apache Kafka in 60 Seconds | Data Science Crash Course | GeeksforGeeks,951 views,3 months ago,https://www.youtube.com/watch?v=Li0wAG3hORQ,https://i.ytimg.com/vi/Li0wAG3hORQ/hqdefault.jpg
50,Master Data Science Concepts: Apache Flume in 60 Seconds | Data Science Crash Course | GeeksforGeeks,720 views,3 months ago,https://www.youtube.com/watch?v=bdjQI-OBGk8,https://i.ytimg.com/vi/bdjQI-OBGk8/hqdefault.jpg
51,Master Data Science Concepts: Data Bricks in 60 Seconds | Data Science Crash Course | GeeksforGeeks,906 views,3 months ago,https://www.youtube.com/watch?v=d1Pn06Rc9QE,https://i.ytimg.com/vi/d1Pn06Rc9QE/hqdefault.jpg
52,Master Data Science Concepts: Apache Beam in 60 Seconds | Data Science Crash Course | GeeksforGeeks,921 views,3 months ago,https://www.youtube.com/watch?v=PjSA0Ru7_rI,https://i.ytimg.com/vi/PjSA0Ru7_rI/hqdefault.jpg
53,Master Data Science Concepts: Data Lake in 60 Seconds | Data Science Crash Course | GeeksforGeeks,1.3K views,3 months ago,https://www.youtube.com/watch?v=KGD-T3bhFEA,https://i.ytimg.com/vi/KGD-T3bhFEA/hqdefault.jpg
54,Choosing the Right Cloud Provider | AWS vs Azure vs GCP | GeeksforGeeks,2.7K views,3 months ago,https://www.youtube.com/watch?v=YbPnhezNaUE,https://i.ytimg.com/vi/YbPnhezNaUE/hqdefault.jpg
55,A Journey from NOKIA to PAYPAL | Ft. Palak Awasthi | GeeksforGeeks,3K views,3 months ago,https://www.youtube.com/watch?v=6UUTPA0l748,https://i.ytimg.com/vi/6UUTPA0l748/hqdefault.jpg
56,Make Best Team For ICC Cricket World 2023 | Practice Problem | GeeksforGeeks,449 views,3 months ago,https://www.youtube.com/watch?v=ItY3minkI3o,https://i.ytimg.com/vi/ItY3minkI3o/hqdefault.jpg
57,Interview Strategies for Freshers | GeeksforGeeks,5.4K views,3 months ago,https://www.youtube.com/watch?v=tmg6d3T_T6Q,https://i.ytimg.com/vi/tmg6d3T_T6Q/hqdefault.jpg
